Puan;SAY_2026;SAY_2025;EA_2026;EA_2025;TYT_2026;TYT_2025;SOZ_2026;SOZ_2025
560;1;1;1;1;1;1;1;1
550;154;110;12;5;112;84;3;3
530;2271;1450;80;52;3017;1840;12;12
510;12887;7081;394;261;8638;3648;26;26
490;27402;16140;1118;742;22600;11733;77;77
470;44919;29410;2482;1629;45313;27141;254;254
450;63669;46142;5299;3422;76021;52500;721;721
430;83511;65449;12363;8145;115071;88915;1926;1926
410;105112;87117;29700;20244;163211;137133;5036;5036
400;116800;99400;42100;29500;191200;167500;7900;7900
380;141900;126500;74200;53600;256800;235600;17200;17200
360;170200;158400;124500;92400;334500;325400;35600;35600
340;202100;195600;194100;148900;425600;438000;69800;69800
320;238400;238900;286500;226500;532100;579000;125600;125600
300;278500;289400;403200;329800;654200;752000;212500;212500
280;324100;347800;548900;462100;792100;961000;338000;338000
260;375600;415600;724600;624500;948500;1214000;505000;505000
240;434200;493400;934500;819400;1124600;1518000;709000;709000
220;501200;582100;1123400;1045000;1324800;1886000;953400;953400
200;549793;681200;1123400;1104800;1551200;2310599;1262800;1262800
